,Jahr,"I90,AT","I90,BE","I90,BG","I90,CH","I90,CY","I90,CZ","I90,DE","I90,DK","I90,EE","I90,EL","I90,ES","I90,EU27_2020","I90,FI","I90,FR","I90,HR","I90,HU","I90,IE","I90,IS","I90,IT","I90,LT","I90,LU","I90,LV","I90,MT","I90,NL","I90,NO","I90,PL","I90,PT","I90,RO","I90,SE","I90,SI","I90,SK"
0,1990-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,1991-01-01,104.7,101.4,81.8,103.1,110.0,90.9,96.3,114.4,92.9,99.7,102.8,97.8,97.1,104.7,78.0,93.3,101.6,94.8,100.4,104.2,105.0,93.1,94.4,103.6,95.4,97.6,103.2,81.8,99.8,92.7,87.3
2,1992-01-01,96.6,101.1,76.5,102.9,116.7,88.0,92.5,106.4,67.5,101.0,106.2,94.9,95.0,103.2,72.0,83.0,101.4,92.6,100.3,64.4,103.1,74.1,97.7,104.1,92.5,95.1,109.6,75.9,99.1,92.7,79.5
3,1993-01-01,97.2,100.3,76.1,98.7,119.3,84.6,91.8,109.5,54.0,100.7,102.7,93.3,98.0,99.3,72.3,84.0,103.2,94.6,99.0,51.6,104.3,61.0,119.2,104.5,96.3,95.1,107.0,71.8,99.8,94.0,75.0
4,1994-01-01,97.5,103.4,71.8,97.1,123.5,80.2,90.4,115.1,55.1,103.6,108.4,92.9,105.8,97.9,69.7,83.1,105.4,93.2,97.9,48.7,98.7,53.5,113.5,104.9,100.0,93.8,108.6,70.7,103.4,96.2,71.5
5,1995-01-01,101.7,105.0,73.4,98.9,123.6,79.7,89.9,111.2,49.8,105.4,114.1,94.0,100.7,99.0,71.8,81.9,108.0,97.2,103.0,46.6,81.2,48.3,107.0,105.4,100.6,94.2,116.4,73.4,102.7,100.4,72.1
6,1996-01-01,105.8,107.8,73.5,100.3,128.7,81.3,91.3,129.2,52.1,108.2,111.4,95.9,109.1,102.5,73.2,84.2,111.6,99.6,102.1,48.6,82.0,48.6,110.1,110.2,106.4,97.1,112.6,74.5,108.1,103.6,71.9
7,1997-01-01,105.4,102.3,70.1,98.4,129.9,79.0,88.6,116.1,51.5,112.6,116.4,94.5,107.3,101.1,77.6,82.6,114.5,104.2,103.5,47.7,78.0,46.5,111.8,106.8,106.6,94.9,118.0,72.0,101.5,106.4,71.7
8,1998-01-01,104.6,106.1,66.0,101.3,135.7,75.9,86.7,110.9,47.1,117.9,119.8,93.8,102.2,103.8,78.0,82.1,119.2,108.8,106.0,49.5,72.3,44.5,110.4,107.1,106.8,88.5,126.1,65.3,102.2,104.3,70.7
9,1999-01-01,102.6,102.3,58.7,101.5,140.2,70.9,84.0,107.3,44.3,118.2,129.0,92.4,101.4,103.2,82.0,82.6,121.8,115.0,107.2,43.7,76.7,41.5,112.8,101.9,109.0,86.0,139.6,58.4,98.2,101.1,69.0
10,2000-01-01,103.0,103.1,57.9,100.6,144.7,75.9,83.9,101.5,43.4,121.3,134.3,92.2,98.7,102.2,80.9,79.7,126.1,117.0,108.0,40.4,80.8,39.1,108.9,101.1,107.7,83.1,138.5,55.3,96.5,100.0,66.5
11,2001-01-01,107.8,101.8,60.8,102.7,146.2,75.7,85.0,103.7,44.4,122.2,134.0,93.2,106.1,103.2,84.6,81.5,130.5,112.8,108.4,42.0,85.3,41.3,116.9,101.5,110.0,82.8,137.6,56.8,97.5,106.8,69.5
12,2002-01-01,109.9,101.3,58.3,99.4,149.3,73.8,83.3,102.6,43.0,122.2,140.2,92.8,109.4,102.1,87.9,79.7,127.5,114.2,109.3,42.7,91.8,41.2,116.9,100.7,107.4,80.7,144.8,57.5,98.0,108.2,67.7
13,2003-01-01,116.5,101.8,63.4,100.5,156.5,75.4,83.0,109.6,47.8,126.5,142.9,94.5,120.0,102.9,92.5,82.7,128.3,113.8,113.2,43.1,95.6,42.1,124.8,100.9,108.7,83.5,136.7,59.8,98.4,106.5,67.8
14,2004-01-01,116.6,102.2,62.5,101.1,158.4,76.0,81.6,101.8,48.2,127.1,148.6,94.7,115.0,103.0,92.6,81.6,126.8,117.7,114.3,44.8,106.9,42.0,121.7,101.9,109.6,84.6,142.3,59.2,97.8,108.5,68.8
15,2005-01-01,118.3,100.0,63.2,102.3,159.2,75.0,79.8,96.1,47.7,130.9,154.0,94.3,98.4,103.3,94.3,81.5,130.5,114.9,114.6,46.6,109.0,42.7,115.6,99.5,107.6,84.6,145.6,58.8,94.1,109.9,68.9
16,2006-01-01,115.4,98.3,63.9,102.0,163.4,75.7,80.4,106.6,46.2,127.8,151.9,94.3,114.4,101.5,95.6,80.1,130.3,131.2,112.8,47.3,107.1,44.5,117.3,97.3,108.0,87.8,137.9,59.3,93.7,110.9,68.6
17,2007-01-01,112.1,96.1,67.8,99.1,168.3,76.5,78.4,100.3,55.0,130.4,155.8,93.7,112.4,99.8,100.1,78.4,128.6,139.4,112.0,51.4,103.3,46.4,121.0,96.7,111.4,87.6,134.3,60.6,92.4,112.0,66.2
18,2008-01-01,111.3,96.3,66.5,102.0,172.1,74.0,78.4,95.4,49.9,127.2,144.4,91.8,101.3,98.9,97.3,76.3,127.2,147.0,109.5,49.6,102.5,44.9,117.0,96.7,108.5,86.3,130.5,59.4,89.4,115.9,67.0
19,2009-01-01,102.6,87.5,57.5,99.2,167.7,69.2,73.1,91.2,41.2,120.2,130.6,85.2,96.0,94.7,90.3,69.8,116.0,137.0,98.9,41.1,98.0,42.3,111.7,93.8,103.8,82.4,125.0,51.1,83.1,104.2,61.1
20,2010-01-01,108.5,92.5,60.1,102.2,162.8,70.6,75.7,91.5,52.5,114.4,125.6,87.0,107.0,95.4,89.1,70.4,115.2,135.4,101.2,43.1,102.6,46.5,115.3,99.0,108.8,86.1,118.4,49.3,91.3,105.4,62.2
21,2011-01-01,106.0,85.7,65.5,95.7,158.4,69.8,73.7,84.5,52.5,111.7,126.0,84.8,96.7,91.0,88.2,68.7,107.4,131.1,98.9,43.9,101.1,43.5,115.6,92.9,107.1,85.8,116.2,51.7,85.6,105.0,60.9
22,2012-01-01,102.4,83.6,60.4,98.1,149.6,67.7,74.3,78.3,49.9,108.3,123.4,83.3,88.9,91.3,82.8,65.0,108.8,131.5,95.3,43.9,98.5,42.9,121.3,90.8,106.2,84.1,113.0,50.8,81.4,101.6,57.7
23,2013-01-01,102.9,83.5,55.2,99.7,137.5,65.0,75.9,80.7,54.5,99.3,114.2,81.5,89.6,91.1,79.1,62.0,108.8,133.2,88.5,41.6,94.6,42.6,110.6,90.7,106.9,83.3,109.9,46.2,79.3,97.9,57.2
24,2014-01-01,98.4,79.8,58.3,93.0,143.4,64.0,72.7,75.2,52.5,96.4,114.9,78.7,83.7,85.3,76.8,62.4,108.4,135.1,84.5,41.4,91.5,42.1,111.5,87.3,107.7,80.6,110.0,46.1,76.9,89.1,54.6
25,2015-01-01,101.4,82.8,61.2,92.4,143.8,64.7,72.9,71.4,44.9,92.8,119.1,79.7,78.9,86.1,78.1,65.7,113.3,139.7,86.6,42.1,89.1,42.2,88.1,90.6,108.4,81.2,117.0,45.7,76.6,90.1,55.6
26,2016-01-01,102.8,81.8,58.7,93.3,152.8,65.5,73.2,74.4,48.9,89.6,115.5,79.9,82.8,86.4,78.9,66.3,117.4,144.5,86.2,42.3,88.5,42.4,79.4,91.0,106.6,83.5,114.4,45.1,76.9,94.7,56.2
27,2017-01-01,105.6,81.7,60.7,91.9,157.6,65.9,72.1,71.4,52.2,93.5,120.4,80.5,79.1,87.0,81.9,68.9,117.2,152.6,85.3,42.6,91.4,42.7,87.0,90.0,105.2,86.7,123.4,46.3,76.0,95.2,57.7
28,2018-01-01,101.8,82.4,56.4,89.9,155.9,65.1,69.4,71.4,50.1,90.9,118.8,78.9,80.8,83.7,78.8,69.0,118.2,158.0,84.8,42.1,94.6,44.7,88.9,87.7,105.4,86.8,117.9,46.4,75.0,94.4,57.5
29,2019-01-01,103.7,81.7,54.9,89.6,156.9,62.3,65.3,66.2,36.5,84.7,112.5,75.7,76.6,82.1,79.5,68.7,113.7,145.7,82.7,42.5,95.7,44.3,94.2,85.1,102.0,82.1,112.4,45.1,73.2,91.7,54.4
30,2020-01-01,93.8,74.4,48.6,78.7,139.7,56.6,59.0,59.8,28.4,72.1,95.3,68.3,67.4,73.1,75.3,66.3,106.2,122.6,73.9,41.9,81.4,40.6,81.7,75.4,96.4,78.5,97.8,43.5,64.7,84.9,50.5
31,2021-01-01,98.5,77.5,54.6,81.4,145.9,59.3,61.6,61.6,31.6,75.2,101.6,72.0,67.4,77.2,77.4,67.6,111.8,130.1,80.4,42.2,85.9,41.8,84.4,77.0,95.6,84.6,95.8,44.8,67.0,85.6,55.9
